Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Home Stay Units,BRILLIANT VIEW,"WATERFALL HOMESTAY ROAD,KITHAL-ELLA,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.045041,6.870346
Home Stay Units,ELLA MOUNT VIEW GUEST INN,"WATAGODA WATTA ROAD,KITHAL-ELLA,ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.045952,6.870878
Home Stay Units,MAPLE HOMESTAY,"""DARHANA"" KITHAL-ELLA,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,80.626737,7.288128
Home Stay Units,RIVER SPLENDOR HOMESTAY,"16 MILE POST,WELLAWAYA ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.04668,6.868413
Home Stay Units,LEISURE DREAM INN,"WELLAWAYA ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046772,6.870086
Home Stay Units,RAWANA FALL VIEW,"""SISILA"" WELLAWAYA ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046314,6.870231
Home Stay Units,WELCOME INN,"""HEMAMALEE"" KITHAL-ELLA,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.045965,6.869021
Home Stay Units,SERENITY HOMESTAY,"WATERFALL ROAD,WATAGODAWATTA,KITHAL-ELLA,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044441,6.86814
Home Stay Units,IDYLL HOMESTAY,"WATAGODAWATTA, KITHALAELLA, ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.0436273,6.8691837
Home Stay Units,AMBA VILLA,"26/A, NITHULEMADU, RAJAWELLA, DIGANA, KANDY",2,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.7823734,7.255355
